사업장명,서비스명,서비스아이디(ID),인허가일자,업종분류,소재지전화,구우편번호,주소,도로명우편번호,도로명주소,영업상태,경도,위도,대표메뉴,영업시간,휴무
커먼(Kommen),제과점영업,07_22_18_P,2016-09-19,음식점,,702-877,대구광역시 북구 국우동 1099-5 ,41419,"대구광역시 북구 학남로 97, 1층 104호 (국우동)",Y,128.5697521,35.94402571,빵,"월 11:00 - 20:00, 화 11:00 - 20:00, 수 11:00 - 20:00, 목 11:00 - 20:00, 금 11:00 - 20:00, 토 11:00 - 20:00, 일 11:00 - 20:00",
바로만든족발칠곡점,일반음식점,07_24_04_P,2019-11-13,음식점,053-323-0085,702-877,대구광역시 북구 국우동 1099-5번지 ,41419,"대구광역시 북구 학남로 97, 1층 103호 (국우동)",Y,128.5697521,35.94402571,"족발,보쌈","월 17:00 - 02:00, 화 17:00 - 02:00, 수 17:00 - 02:00, 목 17:00 - 02:00, 금 17:00 - 02:00, 토 17:00 - 02:00, 일 17:00 - 02:00",
매우당칠곡점,일반음식점,07_24_04_P,2020-11-10,음식점,053-313-7522,702-877,대구광역시 북구 국우동 1099-5 ,41419,"대구광역시 북구 학남로 97, 102호 (국우동)",Y,128.5697521,35.94402571,한식,,
대백베이커리,제과점영업,07_22_18_P,2007-10-19,음식점,,702-877,대구광역시 북구 국우동 1099-3번지 ,41419,"대구광역시 북구 학남로 95 (국우동, 외1)",Y,128.5698237,35.9444037,빵,,
국가대표고기형제,일반음식점,07_24_04_P,2011-02-15,음식점,053-312-3392,702-877,대구광역시 북구 국우동 1099-2번지 (1층) ,41419,"대구광역시 북구 학남로 91 (국우동,(1층))",Y,128.569854,35.94456344,"뼈삼겹,목살",,
도넛만드는남자,제과점영업,07_22_18_P,2018-04-04,음식점,,702-912,대구광역시 북구 학정동 946-1번지 ,41416,"대구광역시 북구 학남로 9, 1층 (학정동)",Y,128.5659805,35.94877162,,,
뜨밥,휴게음식점,07_24_05_P,2018-08-14,음식점,,702-877,대구광역시 북구 국우동 1084-5 ,41419,"대구광역시 북구 학남로 77, 1층 (국우동)",Y,128.5700485,35.94603902,밥버거,,
장금닭발,일반음식점,07_24_04_P,2020-09-16,음식점,053-312-3211,702-912,대구광역시 북구 학정동 943-3 ,41416,"대구광역시 북구 학남로 7, 102호 (학정동)",Y,128.5656703,35.94878666,"닭발, 막창","월 16:00 - 01:00, 화 16:00 - 01:00, 수 16:00 - 01:00, 목 16:00 - 01:00, 금 16:00 - 01:00, 토 16:00 - 01:00, 일 16:00 - 01:00",
치끌림치킨(대구학정점),일반음식점,07_24_04_P,2011-11-10,음식점,053-322-2399,702-912,대구광역시 북구 학정동 943-3 ,41416,대구광역시 북구 학남로 7 (학정동),Y,128.5656703,35.94878666,치킨,"월 15:00 - 03:00, 화 15:00 - 03:00, 수 15:00 - 03:00, 목 15:00 - 03:00, 금 15:00 - 03:00, 토 15:00 - 03:00, 일 15:00 - 03:00",
살맛납니다,일반음식점,07_24_04_P,2004-06-23,음식점,053-312-7888,702-877,대구광역시 북구 국우동 1081-5번지 ,41419,대구광역시 북구 학남로 67 (국우동),Y,128.5701646,35.94665325,닭갈비,"월 18:00 - 02:00, 화 18:00 - 02:00, 수 18:00 - 02:00, 목 18:00 - 02:00, 금 18:00 - 02:00, 토 18:00 - 02:00, 일 18:00 - 02:00",
찜닭스토리,일반음식점,07_24_04_P,2021-04-22,음식점,053-313-9292,702-912,대구광역시 북구 학정동 984 칠곡7주공아파트 ,41417,"대구광역시 북구 학남로 60, 상가동 102호 (학정동, 칠곡7주공아파트)",Y,128.5692557,35.94735622,찜닭,"월 11:00 - 03:00, 화 11:00 - 03:00, 수 11:00 - 03:00, 목 11:00 - 03:00, 금 11:00 - 03:00, 토 11:00 - 03:00, 일 11:00 - 03:00",
이웃집소녀떡볶이,휴게음식점,07_24_05_P,2016-11-30,음식점,0504-2015-1339,702-912,대구광역시 북구 학정동 943-1번지 ,41416,"대구광역시 북구 학남로 3, 1층 (학정동)",Y,128.5652503,35.94885125,떡볶이,"월 11:00 - 22:00, 화 11:00 - 22:00, 수 11:00 - 22:00, 목 11:00 - 22:00, 금 11:00 - 22:00, 토 11:00 - 22:00, 일 11:00 - 22:00",
함지손칼국수,일반음식점,07_24_04_P,2015-03-06,음식점,053-321-1230,702-912,대구광역시 북구 학정동 943-1번지 ,41416,"대구광역시 북구 학남로 3, 1층 (학정동)",Y,128.5652503,35.94885125,칼국수,,
일미리금계찜닭칠곡점,일반음식점,07_24_04_P,2021-04-06,음식점,053-311-8980,702-912,대구광역시 북구 학정동 943-1 ,41416,"대구광역시 북구 학남로 3, 1층 (학정동)",Y,128.5652503,35.94885125,찜닭,"월 10:30 - 21:30, 화 10:30 - 21:30, 수 10:30 - 21:30, 목 10:30 - 21:30, 금 10:30 - 21:30, 토 10:30 - 21:30, 일 10:30 - 21:30",
스푼떡볶이,휴게음식점,07_24_05_P,2011-01-18,음식점,053-312-2663,702-912,대구광역시 북구 학정동 974-5 ,41417,대구광역시 북구 학남로 22 (학정동),Y,128.5672166,35.94824391,떡볶이,"월 11:00 - 22:00, 화 11:00 - 22:00, 수 11:00 - 22:00, 목 11:00 - 22:00, 금 11:00 - 22:00, 토 11:00 - 22:00, 일 11:00 - 22:00",
파리바게뜨칠곡학정점,제과점영업,07_22_18_P,2007-12-26,음식점,053-314-8207,702-912,대구광역시 북구 학정동 974-5번지 ,41417,대구광역시 북구 학남로 22 (학정동),Y,128.5672166,35.94824391,"빵, 샌드위치",,
자연산회수산,일반음식점,07_24_04_P,2017-12-04,음식점,053-311-9285,702-912,대구광역시 북구 학정동 974-4 ,41417,"대구광역시 북구 학남로 20-1, 1층 (학정동)",Y,128.5670125,35.9482891,회,,
멕시카나치킨학정점,일반음식점,07_24_04_P,2007-09-04,음식점,050-7525-0270,702-912,대구광역시 북구 학정동 974-1 ,41417,대구광역시 북구 학남로 16 (학정동),Y,128.5664877,35.94835363,치킨,"월 14:00 - 02:00, 화 14:00 - 02:00, 수 14:00 - 02:00, 목 14:00 - 02:00, 금 14:00 - 02:00, 토 14:00 - 02:00, 일 14:00 - 02:00",
용공장(칠곡점),일반음식점,07_24_04_P,2017-08-18,음식점,070-8100-5558,702-912,대구광역시 북구 학정동 974 ,41417,"대구광역시 북구 학남로 14, 1층 (학정동)",Y,128.5663092,35.94838579,제육볶음,,
꾸버찌,일반음식점,07_24_04_P,2020-05-06,음식점,070-8621-5256,702-912,대구광역시 북구 학정동 946-4 ,41416,"대구광역시 북구 학남로 13, 유성빌딩 1층 (학정동)",Y,128.5665092,35.94869803,모듬꼬치,"월 05:00 - 03:00, 화 05:00 - 03:00, 수 05:00 - 03:00, 목 05:00 - 03:00, 금 05:00 - 03:00, 토 05:00 - 03:00, 일 05:00 - 03:00",
예천참생고기,일반음식점,07_24_04_P,2020-05-18,음식점,053-325-7583,702-912,대구광역시 북구 학정동 946-4번지 ,41416,"대구광역시 북구 학남로 13, 1층 (학정동)",Y,128.5665092,35.94869803,"생고기,육회","월 14:00 - 23:00, 화 14:00 - 23:00, 수 14:00 - 23:00, 목 14:00 - 23:00, 금 14:00 - 23:00, 토 14:00 - 23:00, 일 14:00 - 23:00",
옹이,휴게음식점,07_24_05_P,2019-12-23,음식점,053-267-8883,702-877,"대구광역시 북구 국우동 1080 칠곡그린빌 5,6단지 ",41420,"대구광역시 북구 학남로 100, 가동 1층 103호 (국우동, 칠곡그린빌 5,6단지)",Y,128.5681868,35.94470112,"김밥,분식","월 11:00 - 20:00, 화 11:00 - 20:00, 수 11:00 - 20:00, 목 11:00 - 20:00, 금 11:00 - 20:00, 토 11:00 - 20:00, 일 11:00 - 20:00",
범한식당,일반음식점,07_24_04_P,2014-08-20,음식점,053-352-5801,702-815,대구광역시 북구 노원동3가 218-2번지 ,41496,대구광역시 북구 팔달북로8길 64-1 (노원동3가),Y,128.566395,35.89620769,한식류,,
송림식당,일반음식점,07_24_04_P,1993-11-08,음식점,053-355-6398,702-815,대구광역시 북구 노원동3가 430-6 ,41498,대구광역시 북구 팔달북로8길 5 (노원동3가),Y,128.5611192,35.89305211,"삼겹살, 갈비탕, 육개장 등 한식",,
삼미,일반음식점,07_24_04_P,2015-02-13,음식점,053-359-3366,702-815,대구광역시 북구 노원동3가 266번지 ,41497,"대구광역시 북구 팔달북로8길 42, 1층 (노원동3가)",Y,128.564311,35.89494451,"생삼겹, 잔치국수, 김치찌개 등 한식류",,
재희식당,일반음식점,07_24_04_P,2011-07-22,음식점,053-359-1556,702-816,대구광역시 북구 노원동3가 702-1 ,41499,대구광역시 북구 팔달북로7길 11 (노원동3가),Y,128.5610635,35.8916967,"미주구리회,한방옻닭",,
대영반점,일반음식점,07_24_04_P,2000-03-10,음식점,053-357-2907,702-816,대구광역시 북구 노원동3가 653-2 ,41499,대구광역시 북구 팔달북로11길 9 (노원동3가),Y,128.5587017,35.89211145,중화요리,,
수정식당,일반음식점,07_24_04_P,2000-09-01,음식점,053-356-1071,702-816,대구광역시 북구 노원동3가 488-2번지 ,41498,대구광역시 북구 팔달북로 96 (노원동3가),Y,128.5547512,35.89369705,한식,,
영진식당,일반음식점,07_24_04_P,1993-11-01,음식점,053-352-4686,702-816,대구광역시 북구 노원동3가 725번지 ,41499,대구광역시 북구 팔달북로 9 (노원동3가),Y,128.5639508,35.89148476,한식뷔페,,
소문가식당,일반음식점,07_24_04_P,2011-04-20,음식점,053-351-4435,702-816,대구광역시 북구 노원동3가 450-4번지 ,41498,대구광역시 북구 팔달북로 62 (노원동3가),Y,128.558501,35.89322553,한식,,
대덕식당,일반음식점,07_24_04_P,2002-01-02,음식점,053-357-9848,702-815,대구광역시 북구 노원동3가 376 ,41497,대구광역시 북구 팔달북로 6 (노원동3가),Y,128.564573,35.89164111,,,
대명식당,일반음식점,07_24_04_P,2004-11-25,음식점,053-351-5147,702-815,대구광역시 북구 노원동3가 436번지 ,41498,대구광역시 북구 팔달북로 56 (노원동3가),Y,128.5590704,35.89298005,"찌개류, 삼겹살",,
까치식당,일반음식점,07_24_04_P,2001-06-04,음식점,053-358-1254,702-815,대구광역시 북구 노원동3가 433-4번지 ,41498,대구광역시 북구 팔달북로 46-1 (노원동3가),Y,128.5601342,35.89289586,한식,,
두꺼비식당,일반음식점,07_24_04_P,2001-02-27,음식점,053-357-1705,702-816,대구광역시 북구 노원동3가 668번지 ,41499,대구광역시 북구 팔달북로 39 (노원동3가),Y,128.5608528,35.89247262,한식,,
가마솥엄마,일반음식점,07_24_04_P,1998-10-17,음식점,053-357-8991,702-815,대구광역시 북구 노원동3가 430-2번지 ,41498,대구광역시 북구 팔달북로 38 (노원동3가),Y,128.5609985,35.8927517,"정식, 각종찌개 등 한식류",,
우리집한식,일반음식점,07_24_04_P,1997-12-16,음식점,053-353-4372,702-816,대구광역시 북구 노원동3가 705-1번지 ,41499,대구광역시 북구 팔달북로 33 (노원동3가),Y,128.5614986,35.89228859,한식,,
의성형제맛도둑,일반음식점,07_24_04_P,1999-05-18,음식점,,702-816,대구광역시 북구 노원동3가 726-3 ,41499,대구광역시 북구 팔달북로 3 (노원동3가),Y,128.5644939,35.89134864,,,
형제뷔페식당,일반음식점,07_24_04_P,2013-05-30,음식점,053-351-2524,702-816,대구광역시 북구 노원동3가 708-3 상가 102호,41499,"대구광역시 북구 팔달북로 23, 102호 (노원동3가, 상가)",Y,128.5623022,35.89191236,한식,,
냄비밥애청국장,일반음식점,07_24_04_P,2010-05-07,음식점,,702-816,대구광역시 북구 노원동3가 714번지 ,41499,대구광역시 북구 팔달북로 19 (노원동3가),Y,128.5629136,35.89176239,청국장,,
성원한식뷔페,일반음식점,07_24_04_P,1998-03-11,음식점,053-355-1999,702-815,대구광역시 북구 노원동3가 394-2번지 ,41497,대구광역시 북구 팔달북로 18 (노원동3가),Y,128.5630613,35.89205559,한식,,
거성식당,일반음식점,07_24_04_P,2000-11-09,음식점,053-351-9212,702-815,대구광역시 북구 노원동3가 393-2번지 ,41497,대구광역시 북구 팔달북로 14 (노원동3가),N,128.5635924,35.8919619,,,
상주식당,일반음식점,07_24_04_P,1999-03-11,음식점,053-356-8335,702-816,대구광역시 북구 노원동3가 510-1 ,41498,대구광역시 북구 팔달북로 103 (노원동3가),Y,128.5538825,35.8934858,한식,,
환상통닭,일반음식점,07_24_04_P,2000-04-27,음식점,053-355-7820,702-816,대구광역시 북구 노원동3가 510-1번지 ,41498,대구광역시 북구 팔달북로 103 (노원동3가),Y,128.5538825,35.8934858,치킨,,
월미식당,일반음식점,07_24_04_P,1997-04-24,음식점,053-355-7663,702-817,대구광역시 북구 노원동3가 536-2번지 외1필지 ,41499,대구광역시 북구 팔달로7길 27 (노원동3가),Y,128.5566915,35.89267,한식,,
대구식당,일반음식점,07_24_04_P,1995-07-31,음식점,053-357-7383,702-817,대구광역시 북구 노원동3가 540-5 ,41499,대구광역시 북구 팔달로7길 11-2 (노원동3가),Y,128.5552211,35.8923068,"삼겹살, 두루치기, 국수 등 한식",,
극동기사식당,일반음식점,07_24_04_P,2007-05-08,음식점,053-356-3223,702-817,대구광역시 북구 노원동3가 540-10번지 ,41499,대구광역시 북구 팔달로7길 11 (노원동3가),Y,128.5551711,35.89224581,한식,,
산골코다리찜마을,일반음식점,07_24_04_P,2010-06-07,음식점,053-944-3303,702-812,대구광역시 북구 노원동2가 271번지 ,41558,대구광역시 북구 팔달로45길 3 (노원동2가),Y,128.5750425,35.88801114,국수,,
경안식당,일반음식점,07_24_04_P,2006-12-12,음식점,053-358-6808,702-812,대구광역시 북구 노원동2가 263-1번지 ,41558,대구광역시 북구 팔달로45길 15 (노원동2가),Y,128.5752368,35.88846709,"무침회,두부김치,낙지볶음",,
국수공장,일반음식점,07_24_04_P,2000-12-11,음식점,,702-811,대구광역시 북구 노원동2가 145-1번지 ,41556,대구광역시 북구 팔달로41길 95 (노원동2가),Y,128.5741576,35.89239896,잔치국수,,
공단가정식뷔페,일반음식점,07_24_04_P,2016-12-13,음식점,053-354-0666,702-811,대구광역시 북구 노원동2가 93-1번지 ,41556,"대구광역시 북구 팔달로41길 78, 1층 (노원동2가)",Y,128.5741514,35.8914605,뷔페,,
호식이두마리치킨노원점,일반음식점,07_24_04_P,2014-08-06,음식점,053-356-9955,702-812,대구광역시 북구 노원동2가 224-4 ,41558,"대구광역시 북구 팔달로41길 62, 1층 (노원동2가)",Y,128.5738885,35.89073952,치킨,"월 11:30 - 23:00, 화 11:30 - 23:00, 수 11:30 - 23:00, 목 11:30 - 23:00, 금 11:30 - 23:00, 토 11:30 - 23:00, 일 11:30 - 23:00",
노원부자국수,일반음식점,07_24_04_P,2009-12-17,음식점,053-313-9797,702-812,대구광역시 북구 노원동2가 224-4 ,41558,대구광역시 북구 팔달로41길 62 (노원동2가),Y,128.5738885,35.89073952,치킨,"월 12:00 - 23:30, 화 12:00 - 23:30, 수 12:00 - 23:30, 목 12:00 - 23:30, 금 12:00 - 23:30, 토 12:00 - 23:30, 일 12:00 - 23:30",
진주한식식당,일반음식점,07_24_04_P,1997-09-05,음식점,,702-812,대구광역시 북구 노원동2가 293-4번지 ,41558,대구광역시 북구 팔달로41길 59 (노원동2가),Y,128.5736008,35.89076528,,,
산더미,일반음식점,07_24_04_P,2002-01-21,음식점,053-353-4560,702-812,대구광역시 북구 노원동2가 224-5 ,41558,대구광역시 북구 팔달로41길 58 (노원동2가),Y,128.5738452,35.8906105,"삼계탕, 백숙",,
통큐치킨,일반음식점,07_24_04_P,2001-11-24,음식점,053-314-3313,702-812,대구광역시 북구 노원동2가 225 대신빌라 상가동 3호,41558,"대구광역시 북구 팔달로41길 52, 상가동 3호 (노원동2가,대신빌라)",Y,128.5739061,35.89042056,치킨,,
이조민속촌,일반음식점,07_24_04_P,2019-04-03,음식점,053-354-2693,702-812,대구광역시 북구 노원동2가 225번지 노원동대신빌라 ,41558,"대구광역시 북구 팔달로41길 52, 1층 1,2호 (노원동2가, 노원동대신빌라)",Y,128.5739061,35.89042056,"홍어삼합, 전",,
청춘포차,일반음식점,07_24_04_P,2000-11-18,음식점,,702-812,대구광역시 북구 노원동2가 346번지 ,41558,대구광역시 북구 팔달로41길 5 (노원동2가),Y,128.5727433,35.88845724,"제육, 똥집",,
유정,일반음식점,07_24_04_P,2002-12-24,음식점,053-351-1140,702-812,대구광역시 북구 노원동2가 295-18번지 ,41558,대구광역시 북구 팔달로41길 41-2 (노원동2가),Y,128.5733389,35.89010808,생삼겹살,"월 11:00 - 00:00, 화 11:00 - 00:00, 수 11:00 - 00:00, 목 11:00 - 00:00, 금 11:00 - 00:00, 토 11:00 - 00:00, 일 11:00 - 00:00",
부촌국시,일반음식점,07_24_04_P,2016-08-11,음식점,053-351-2555,702-812,대구광역시 북구 노원동2가 295-22번지 ,41558,대구광역시 북구 팔달로41길 37 (노원동2가),Y,128.5732441,35.88981889,잔치국수,,
웰컴투최가네생막창,일반음식점,07_24_04_P,1997-11-03,음식점,053-356-0041,702-812,대구광역시 북구 노원동2가 313-1번지 ,41558,대구광역시 북구 팔달로41길 33 (노원동2가),Y,128.5732206,35.88966159,막창,,
미성,일반음식점,07_24_04_P,2012-06-18,음식점,,702-812,대구광역시 북구 노원동2가 313-3번지 (1층) ,41558,"대구광역시 북구 팔달로41길 29, 1층 (노원동2가)",Y,128.5731705,35.88946994,"흑돼지, 막창",,
떡볶이대첩,일반음식점,07_24_04_P,2019-07-05,음식점,,702-812,대구광역시 북구 노원동2가 289-3번지 ,41558,"대구광역시 북구 팔달로41길 18, 1(일부)층 (노원동2가)",Y,128.5732548,35.8889058,,,
선희,일반음식점,07_24_04_P,2007-08-31,음식점,,702-812,대구광역시 북구 노원동2가 289-5 ,41558,대구광역시 북구 팔달로41길 14 (노원동2가),Y,128.5731891,35.88871327,아구찜,,
산더미,일반음식점,07_24_04_P,2001-12-26,음식점,053-353-4560,702-812,대구광역시 북구 노원동2가 344-2번지 ,41558,대구광역시 북구 팔달로41길 13 (노원동2가),Y,128.5729303,35.88873856,"오리백숙, 삼계탕",,
윤이네,일반음식점,07_24_04_P,2014-09-12,음식점,,702-811,대구광역시 북구 노원동2가 42번지 ,41556,"대구광역시 북구 팔달로41길 110, 1층 (노원동2가)",Y,128.5746929,35.89289352,,,
재우네칼국수,일반음식점,07_24_04_P,2013-07-25,음식점,053-356-0927,702-811,대구광역시 북구 노원동2가 42번지 ,41556,대구광역시 북구 팔달로41길 110 (노원동2가),Y,128.5746929,35.89289352,칼국수,,
전통손칼국수,일반음식점,07_24_04_P,1999-09-14,음식점,053-352-9993,702-812,대구광역시 북구 노원동2가 345-1 ,41558,대구광역시 북구 팔달로41길 11 (노원동2가),Y,128.5728186,35.88868388,손칼국수,,
강원도식당,일반음식점,07_24_04_P,2019-10-15,음식점,,702-811,대구광역시 북구 노원동2가 167-21번지 ,41556,"대구광역시 북구 팔달로37길 94, 1층 (노원동2가)",Y,128.5722272,35.89249508,정식,,
구룡포회물회,일반음식점,07_24_04_P,2016-02-04,음식점,053-355-0577,702-812,대구광역시 북구 노원동2가 375-1번지 ,41558,"대구광역시 북구 팔달로37길 9, 1층 (노원동2가)",Y,128.5708013,35.88890404,회,,
원조칼국수,일반음식점,07_24_04_P,2017-08-31,음식점,053-352-9766,702-812,대구광역시 북구 노원동2가 375-1번지 ,41558,"대구광역시 북구 팔달로37길 9, 1층 (노원동2가)",Y,128.5708013,35.88890404,칼국수,,
팔달삼영소곰탕,일반음식점,07_24_04_P,2011-08-03,음식점,053-357-8228,702-812,대구광역시 북구 노원동2가 374-5번지 ,41558,대구광역시 북구 팔달로37길 8 (노원동2가),Y,128.5711601,35.88880427,"소곰탕,소국밥","월 04:00 - 02:00, 화 04:00 - 02:00, 수 04:00 - 02:00, 목 04:00 - 02:00, 금 04:00 - 02:00, 토 04:00 - 02:00, 일 04:00 - 02:00",
통돼지한마리,일반음식점,07_24_04_P,2002-01-18,음식점,,702-812,대구광역시 북구 노원동2가 200-1번지 ,41556,대구광역시 북구 팔달로37길 68 (노원동2가),Y,128.5719461,35.89150589,,,
기절초풍왕소금구이,일반음식점,07_24_04_P,1999-07-22,음식점,,702-812,대구광역시 북구 노원동2가 301-10번지 ,41558,대구광역시 북구 팔달로37길 63 (노원동2가),Y,128.5715019,35.89122694,,,
현풍식당,일반음식점,07_24_04_P,2000-05-29,음식점,053-353-2829,702-812,대구광역시 북구 노원동2가 376-1 ,41558,"대구광역시 북구 팔달로37길 5, 1층 (노원동2가)",Y,128.5707843,35.88879098,소곰탕,"월 04:00 - 23:59, 화 04:00 - 23:59, 수 04:00 - 23:59, 목 04:00 - 23:59, 금 04:00 - 23:59, 토 04:00 - 23:59, 일 04:00 - 23:59",
현대식당,일반음식점,07_24_04_P,1993-09-11,음식점,,702-812,대구광역시 북구 노원동2가 327-12번지 ,41558,대구광역시 북구 팔달로37길 41 (노원동2가),Y,128.5713065,35.89040297,,,
풍미식당,일반음식점,07_24_04_P,1993-12-22,음식점,,702-812,대구광역시 북구 노원동2가 300-10번지 ,41558,대구광역시 북구 팔달로37길 38 (노원동2가),Y,128.5714897,35.89018493,"삼겹, 목살",,
국수마을,일반음식점,07_24_04_P,2016-06-09,음식점,,702-812,대구광역시 북구 노원동2가 319-4번지 ,41558,"대구광역시 북구 팔달로37길 32, A동 점포10호 (노원동2가, 동남아파트,일부)",Y,128.5717422,35.88964841,,,
향미식당,일반음식점,07_24_04_P,2001-11-19,음식점,,702-812,대구광역시 북구 노원동2가 319번지 동남아파트1층5호 ,41558,"대구광역시 북구 팔달로37길 32 (노원동2가,동남아파트1층5호)",Y,128.5717841,35.88992226,,,
홍루,일반음식점,07_24_04_P,1994-10-15,음식점,053-354-7571,702-812,대구광역시 북구 노원동2가 376-3번지 ,41558,대구광역시 북구 팔달로37길 3 (노원동2가),Y,128.5707611,35.88870469,중식,,
인정식당,일반음식점,07_24_04_P,2013-01-14,음식점,,702-812,대구광역시 북구 노원동2가 361-1번지 ,41558,"대구광역시 북구 팔달로37길 23, 1층 (노원동2가)",Y,128.5710539,35.88952351,한식,,
미래실내포차,일반음식점,07_24_04_P,2017-08-30,음식점,053-353-7120,702-812,대구광역시 북구 노원동2가 362번지 ,41558,"대구광역시 북구 팔달로37길 17, 1층 (노원동2가)",Y,128.5707437,35.88934256,한식,"월 10:00 - 23:00, 화 10:00 - 23:00, 수 10:00 - 23:00, 목 10:00 - 23:00, 금 10:00 - 23:00, 토 10:00 - 23:00, 일 10:00 - 23:00",
보림분식식당,일반음식점,07_24_04_P,2017-09-15,음식점,,702-812,대구광역시 북구 노원동2가 379번지 ,41558,대구광역시 북구 팔달로37길 13-9 (노원동2가),Y,128.5703982,35.88904142,,,
의성곱창,일반음식점,07_24_04_P,1993-07-21,음식점,053-358-4478,702-812,대구광역시 북구 노원동2가 379번지 ,41558,대구광역시 북구 팔달로37길 13-9 (노원동2가),Y,128.5703982,35.88904142,곱창전골,"월 10:00 - 00:00, 화 10:00 - 00:00, 수 10:00 - 00:00, 목 10:00 - 00:00, 금 10:00 - 00:00, 토 10:00 - 00:00, 일 10:00 - 00:00",
해평식당,일반음식점,07_24_04_P,1993-09-11,음식점,053-355-4714,702-812,대구광역시 북구 노원동2가 379 ,41558,대구광역시 북구 팔달로37길 13-9 (노원동2가),Y,128.5703982,35.88904142,곱창요리,"월 10:00 - 22:00, 화 10:00 - 22:00, 수 10:00 - 22:00, 목 10:00 - 22:00, 금 10:00 - 22:00, 토 10:00 - 22:00, 일 10:00 - 22:00",
참한집,일반음식점,07_24_04_P,2019-04-01,음식점,053-359-3777,702-812,대구광역시 북구 노원동2가 379-1번지 ,41558,"대구광역시 북구 팔달로37길 13-7, 일부 1층 (노원동2가)",Y,128.5705972,35.88905747,한식,,
부산곰장어,일반음식점,07_24_04_P,2000-11-16,음식점,,702-812,대구광역시 북구 노원동2가 379-1 ,41558,대구광역시 북구 팔달로37길 13-7 (노원동2가),Y,128.5705972,35.88905747,,,
북성로석쇠불고기,일반음식점,07_24_04_P,2017-05-18,음식점,,702-812,대구광역시 북구 노원동2가 379-1번지 ,41558,대구광역시 북구 팔달로37길 13-7 (노원동2가),Y,128.5705972,35.88905747,,,
금성식당,일반음식점,07_24_04_P,1999-03-24,음식점,,702-811,대구광역시 북구 노원동2가 111-3번지 ,41556,대구광역시 북구 팔달로37길 130 (노원동2가),Y,128.5727543,35.89422405,,,
둥지식당,일반음식점,07_24_04_P,2015-11-30,음식점,053-352-7135,702-812,대구광역시 북구 노원동2가 375번지 ,41558,"대구광역시 북구 팔달로37길 11, 1층 (노원동2가)",Y,128.5708355,35.88902038,"코다리찜, 닭발",,
안동식당,일반음식점,07_24_04_P,2009-07-07,음식점,,702-811,대구광역시 북구 노원동2가 175-9번지 ,41556,대구광역시 북구 팔달로35길 98 (노원동2가),Y,128.5709706,35.89301833,,,
대일양념곱창,일반음식점,07_24_04_P,2004-02-13,음식점,053-324-1778,702-811,대구광역시 북구 노원동2가 185-2 ,41556,대구광역시 북구 팔달로35길 90 (노원동2가),Y,128.5708354,35.89262225,한식,,
더비어,일반음식점,07_24_04_P,1999-01-25,음식점,0507-1334-2269,702-811,대구광역시 북구 노원동2가 186-1번지 ,41556,대구광역시 북구 팔달로35길 88 (노원동2가),Y,128.5708357,35.89253619,생맥주,"월 17:00 - 23:00, 화 17:00 - 23:00, 수 17:00 - 23:00, 목 17:00 - 23:00, 금 17:00 - 23:00",
창녕식당,일반음식점,07_24_04_P,2004-04-02,음식점,053-357-9995,702-811,대구광역시 북구 노원동2가 186-3번지 ,41556,대구광역시 북구 팔달로35길 84 (노원동2가),Y,128.5707868,35.89238895,한식,,
김천식당,일반음식점,07_24_04_P,2000-02-12,음식점,0507-1303-5520,702-812,대구광역시 북구 노원동2가 383-1번지 ,41558,대구광역시 북구 팔달로35길 8 (노원동2가),Y,128.569741,35.88906272,돼지국밥,,
둥지,일반음식점,07_24_04_P,2010-10-13,음식점,053-341-6999,702-812,대구광역시 북구 노원동2가 209-3번지 ,41556,대구광역시 북구 팔달로35길 74-1 (노원동2가),Y,128.5706279,35.8919792,정식,,
고집센그집갈비탕,일반음식점,07_24_04_P,2019-08-22,음식점,053-217-4511,702-813,대구광역시 북구 노원동3가 1022번지 노원휴먼프라자 ,41557,"대구광역시 북구 팔달로35길 69, 1층 154호 (노원동3가, 노원휴먼프라자)",Y,128.5701732,35.89208491,그집갈비탕,"월 11:30 - 21:00, 화 11:30 - 21:00, 수 11:30 - 21:00, 목 11:30 - 21:00, 금 11:30 - 21:00",
채다올김밥,일반음식점,07_24_04_P,2018-12-27,음식점,053-323-8487,702-813,대구광역시 북구 노원동3가 1022번지 노원휴먼프라자 ,41557,"대구광역시 북구 팔달로35길 69, 1층 153호 (노원동3가, 노원휴먼프라자)",Y,128.5701732,35.89208491,국수,,
금방진세마리치킨노원점,일반음식점,07_24_04_P,2018-08-29,음식점,0507-525-0171,702-813,대구광역시 북구 노원동3가 1022번지 노원휴먼프라자 ,41557,"대구광역시 북구 팔달로35길 69, 1층 106,107호 (노원동3가, 노원휴먼프라자)",Y,128.5701732,35.89208491,치킨,,
군위통닭식당,일반음식점,07_24_04_P,1993-09-17,음식점,053-357-7724,702-812,대구광역시 북구 노원동2가 365-1 외  362-1번지 ,41558,"대구광역시 북구 팔달로35길 24 (노원동2가,외  362-1번지)",Y,128.5699455,35.88965416,"찜닭, 통닭",,
할매죽집,일반음식점,07_24_04_P,2017-11-15,음식점,,702-812,대구광역시 북구 노원동2가 384번지 ,41558,"대구광역시 북구 팔달로35길 14, 1층 104호 일부, 105호 (노원동2가)",Y,128.5697544,35.88919744,선지국밥,,
